,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
55,2009-01-12 17:50:55,1231762855.0,xom,0.082,76.91,57.76410256410256,870.26001,-21.881115745119192,79.64521830922175
56,2008-12-18 11:56:40,1229581600.0,xom,0.082,81.06,66.27692307692308,885.2800289999999,-20.532843835248134,86.80976691217121
57,2006-04-21 17:36:26,1145621186.0,xom,0.072,64.89,33.10769230769231,1311.280029,17.707043451517155,15.400648856175156
58,2005-07-21 08:58:18,1121916498.0,xom,0.08,59.0,21.025641025641026,1227.040039,10.145241285699699,10.880399739941327
59,2008-12-15 01:12:02,1229283722.0,xom,0.082,80.45,65.02564102564104,868.570007,-22.032818853650397,87.05845987929143
60,2008-01-23 16:17:07,1201085227.0,xom,0.076,79.96,64.0205128205128,1338.599976,20.159418319968797,43.86109450054401
61,2004-08-20 21:58:50,1093019330.0,xom,0.105,45.25,-7.179487179487179,1098.349976,-1.4066213998559884,-5.77286577963119
62,2008-01-02 05:05:18,1199230518.0,pgr,0.407,19.16,0.0,1447.160034,0.0,0.0
63,2006-05-10 01:07:55,1147203475.0,pgr,0.203,107.1,458.97703549060543,1322.849976,-8.589931664738057,467.5669671553435
64,2005-01-07 07:45:27,1105064127.0,pgr,0.21,87.22,355.21920668058453,1186.189941,-18.033257336347912,373.25246401693244
65,2007-07-02 00:30:48,1183316448.0,pgr,0.171,23.93,24.895615866388308,1519.430054,4.9939203890424695,19.90169547734584
66,2006-12-07 13:38:05,1165478885.0,txt,2.766,96.06,0.0,1407.290039,0.0,0.0
67,2004-09-24 18:21:21,1096030281.0,txt,1.694,61.67,-35.80054132833646,1110.109985,-21.117185922183587,-14.68335540615287
68,2004-06-28 06:46:48,1088385408.0,txt,1.721,58.8,-38.78825733916303,1133.349976,-19.465785687977856,-19.322471651185175
69,2004-11-16 01:34:10,1100549050.0,txt,1.693,71.12,-25.962939829273367,1175.430054,-16.475636050458824,-9.487303778814542
70,2008-10-21 03:32:40,1224540160.0,txt,3.09,18.81,-80.41848844472204,955.0499880000001,-32.13552561782894,-48.282962826893105
71,2003-11-20 22:07:06,1069346226.0,txt,1.954,49.07,-48.91734332708724,1033.650024,-26.550320448903562,-22.367022878183676
72,2008-04-23 22:14:28,1208969068.0,txt,3.098,60.15,-37.38288569643973,1379.930054,-1.944161064299273,-35.438724632140456
73,2005-04-20 05:48:00,1113956280.0,txt,1.8,71.83,-25.223818446804085,1137.5,-19.170890969405914,-6.052927477398171
74,2005-12-05 04:55:12,1133738712.0,txt,2.093,79.74,-16.98938163647721,1262.089966,-10.317707720234917,-6.671673916242291
75,2006-09-22 17:08:55,1158925135.0,txt,2.686,81.53,-15.125962939829273,1314.780029,-6.573627854691294,-8.55233508513798
76,2004-08-18 11:38:00,1092809280.0,cl,3.842,51.62,0.0,1095.170044,0.0,0.0
77,2008-10-17 13:33:21,1224230601.0,cl,1.399,62.61,21.290197597830304,940.5499880000001,-14.118360600447529,35.40855819827783
78,2005-04-13 06:13:23,1113353003.0,cl,2.951,53.95,4.513754358775679,1173.790039,7.178793414842528,-2.665039056066849
79,2005-03-16 07:02:27,1110936747.0,cl,2.951,52.6,1.8984889577683146,1188.069946,8.482692026590906,-6.584203068822591
80,2006-08-18 17:32:10,1155902530.0,cl,2.265,59.01,14.316156528477336,1302.300049,18.91304515995326,-4.596888631475924
81,2006-10-23 12:25:11,1161586511.0,cl,2.265,60.74,17.66757070902752,1377.02002,25.735727300444676,-8.068156591417157
82,2003-11-12 16:36:07,1068635167.0,cl,3.865,52.34,1.3948082138706044,1058.530029,-3.3456005485847595,4.740408762455364
83,2004-11-30 20:18:36,1101826116.0,cl,2.955,45.95,-10.984114684230908,1173.819946,7.181524223648333,-18.16563890787924
84,2007-03-12 17:06:35,1173699395.0,cl,2.602,66.49,28.80666408368849,1406.599976,28.436673711648748,0.36999037203974083
85,2007-04-12 12:23:02,1176360782.0,cl,2.602,65.89,27.644323905463008,1447.800049,32.198653253156365,-4.554329347693358
86,2005-09-08 07:02:29,1126143149.0,cl,3.255,54.06,4.7268500581170185,1231.670044,12.463817901870954,-7.736967843753935
87,2005-02-25 15:49:50,1109326790.0,cl,2.951,52.46,1.6272762495156985,1211.369995,10.610219996119621,-8.982943746603922
88,2008-01-22 12:28:29,1200985109.0,kmx,0.128,16.63,0.0,1310.5,0.0,0.0
89,2004-11-29 03:12:11,1101678131.0,kmx,0.139,28.9,73.78232110643415,1178.569946,-10.067154063334598,83.84947516976875
90,2008-12-24 21:04:59,1230132899.0,kmx,0.176,7.43,-55.32170775706554,868.150024,-33.754290423502475,-21.567417333563064
91,2007-02-23 09:53:38,1172204618.0,kmx,0.101,56.0,236.7408298256164,1451.189941,10.735592598244951,226.00523722737145
92,2006-03-29 20:15:51,1143643551.0,psa,0.03,82.29,0.0,1302.890015,0.0,0.0
93,2008-01-22 07:29:24,1200967164.0,psa,0.115,72.02,-12.480252764612967,1310.5,0.5840849889389974,-13.064337753551964
94,2004-08-03 23:31:26,1091556086.0,psa,0.011,47.9,-41.791226151415735,1099.689941,-15.596103405551071,-26.195122745864666
95,2006-11-09 04:34:58,1163027098.0,psa,0.171,87.01,5.735812370883459,1378.329956,5.790200257233539,-0.05438788635007974
96,2009-01-26 17:46:24,1232972184.0,psa,0.072,65.88,-19.941669704702893,836.570007,-35.79120283610431,15.849533131401419
97,2007-04-10 20:13:58,1176216238.0,psa,0.213,96.65,17.450480009721716,1448.390015,11.167481393277852,6.282998616443864
98,2006-05-16 14:27:00,1147769820.0,adm,0.514,43.1,0.0,1292.079956,0.0,0.0
99,2005-02-14 20:39:46,1108393786.0,adm,0.528,24.5,-43.1554524361949,1206.140015,-6.651286601957014,-36.50416583423789
100,2007-06-19 05:10:54,1182210054.0,adm,0.597,34.75,-19.37354988399072,1533.699951,18.700080740204594,-38.07363062419532
101,2006-04-06 18:53:48,1144329828.0,adm,0.52,37.05,-14.037122969837595,1309.040039,1.3126186906036905,-15.349741660441286
102,2004-11-30 07:08:52,1101778732.0,adm,0.613,21.23,-50.74245939675174,1173.819946,-9.152685129959554,-41.58977426679219
103,2007-10-12 05:57:34,1192148854.0,adm,0.47,34.9,-19.025522041763345,1561.800049,20.874876337761243,-39.90039837952459
104,2003-11-12 17:41:28,1068639088.0,adm,0.733,14.48,-66.40371229698377,1058.530029,-18.075501126340516,-48.32821117064326
105,2005-01-26 00:58:06,1106681286.0,adm,0.613,22.65,-47.4477958236659,1174.069946,-9.133336482158072,-38.31445934150783
106,2007-02-20 08:05:08,1171938908.0,adm,0.541,35.88,-16.751740139211133,1459.680054,12.971341070784314,-29.72308120999545
107,2008-01-23 23:14:44,1201110284.0,adm,0.62,40.85,-5.220417633410673,1338.599976,3.600397930791826,-8.820815564202498
108,2005-02-08 21:21:16,1107877876.0,adm,0.613,23.71,-44.988399071925755,1202.300049,-6.948479200771697,-38.039919871154055
109,2007-06-18 03:24:32,1182117272.0,adm,0.597,34.57,-19.791183294663576,1531.050049,18.494992658178802,-38.28617595284238
110,2006-04-24 19:49:42,1145888382.0,adm,0.52,38.45,-10.78886310904872,1308.109985,1.2406375414742532,-12.029500650522973
111,2006-04-12 00:58:21,1144783701.0,adm,0.52,36.55,-15.19721577726219,1288.119995,-0.30647956278643956,-14.890736214475751
112,2006-04-07 06:53:49,1144373029.0,adm,0.52,36.92,-14.338747099767982,1295.5,0.26469290728630124,-14.603440007054283
113,2004-04-14 16:44:25,1081941265.0,adm,0.789,16.81,-60.99767981438515,1128.170044,-12.68574063384047,-48.311939180544684
114,2009-01-09 16:47:55,1231499875.0,adm,0.628,27.94,-35.17401392111369,890.349976,-31.091727577267676,-4.082286343846015
115,2007-03-07 08:11:55,1173235315.0,adm,0.541,32.96,-23.526682134570766,1391.969971,7.7309468764795195,-31.257629011050284
